Iteration,Walker,Theta_1,Theta_2,Theta_3,Theta_4,Inner Cost,Outer Cost,Gradient Cost
0,0,-0.9456157808354853,-4.4539950288691665,-6.518031058787184,-6.062809437793658,181.02431541265804,35.927742610467504,145.09657280219054
0,1,-5.2495926779609805,-4.266445103022121,-8.147078845717214,-3.55909347303591,0.038211805940509574,3.1634574190274336e-05,0.0381801713663193
0,2,-5.3684334146767885,-9.824372899341917,-5.02527886982476,-6.087169206439826,0.15749808422847794,0.0003235495631403013,0.15717453466533765
0,3,-3.493236503523436,-7.096881660515726,-5.597787366709285,-6.252696014930008,1.7362932641584186,0.005059169598146616,1.731234094560272
0,4,-3.5794315115385045,-4.787787509776006,-4.088361098709256,-9.517676993190301,1.7244619042097777,0.02012402225572741,1.7043378819540502
0,5,-7.687851452101958,-4.019315021346535,-5.004908175393878,-2.850512450107793,1.634850969410413,0.003973354946500309,1.6308776144639126
0,6,-6.5797498090678435,-4.947897906317007,-3.1204725366391406,-5.249687207304186,6.476230724413173,0.0711982840821917,6.405032440330982
0,7,-4.090006251277745,-6.1621469386500864,-7.210286085688125,-3.413248168551011,0.5144300878345173,0.0006397433051611777,0.5137903445293561
0,8,-6.738859132720481,-6.949393120071992,-3.2499535879700305,-5.236940216842845,5.013845577699412,0.04376035891229049,4.970085218787121
0,9,-5.95120107662742,-7.631569876702779,-5.384424461176085,-2.723067048809238,1.3445818745881886,0.0032137756865562206,1.3413680989016323
0,10,-7.36489701889532,-4.107670708979975,-7.285963467228658,-3.8534207609331403,0.0019835733809987176,5.099148543507435e-06,0.00197847423245521
0,11,-5.753330816574452,-8.267066826833904,-5.0526213287562065,-2.7704727300512144,2.08368033640576,0.007299720687158355,2.0763806157186013
0,12,-2.4313105469157557,-6.297976010726717,-7.766862514073426,-3.8046761314356092,14.721447835372219,0.2510673366336791,14.470380498738539
0,13,-8.703637460840383,-1.7620202603061168,-4.324354417635838,-7.6248404079425525,0.813924269890095,0.12195353056360037,0.6919707393264947
0,14,-3.964304364883194,-3.8993041957866366,-5.0064377494275005,-2.3163886318747147,35.10289672836648,2.1940266528318153,32.908870075534665
0,15,-2.0332031881131702,-5.1834673434934775,-6.885185234205725,-4.933920372028588,29.27567971885827,1.204453589657133,28.071226129201136
0,16,-5.199144573853863,-4.304016953751765,-5.095725058019693,-3.2347727968307787,0.393251885763362,0.00029703817370958823,0.39295484758965243
1,0,-7.200259070959154,-5.949032735675168,-10.255785189576612,-4.1057196218905085,0.0009964965668532691,4.716431744767642e-06,0.0009917801351085015
1,1,-4.896888914852427,-3.803131802604681,-0.6710936190325185,-5.661743802524097,479.60767459682296,174.71451672384055,304.89315787298244
1,2,-7.5485466159493635,-4.467500655542652,-6.165332578477971,-3.439937225282495,0.029049484866103998,1.1703321565486547e-05,0.02903778154453851
1,3,-5.602327978079728,-7.206084457159229,-7.228990979377458,-4.309778395621611,0.023329537384836996,1.6549551089908042e-05,0.02331298783374709
1,4,-2.9007586787807718,-6.256751027140875,-6.532400189082612,-3.965315670617229,5.713753676301314,0.043377145820306814,5.670376530481008
1,5,-5.2813833252278855,-2.2792015709135303,-3.8660442247956075,-6.981909501969521,2.0373470576286428,0.4624706780698531,1.5748763795587897
1,6,-3.5831466494349793,-4.656730536888911,-5.306906125629556,-2.8268994202028495,2.0045204563343995,0.00842338313439019,1.9960970732000092
1,7,-6.620440537308359,-7.307462712353125,-2.0000075882576933,-7.700018166049902,57.936781903265356,5.567149409486619,52.36963249377874
1,8,-0.8704415382241901,-4.2387580006138865,-8.400661946097626,-3.672430248206329,192.4390217628763,43.11156001688095,149.32746174599535
1,9,-4.080160376841144,-11.027724388727298,-4.868931282758033,-3.379106595095198,0.8381765012216348,0.0014540025633144958,0.8367224986583203
