Iteration,Walker,Theta_0,Theta_1,Theta_2,Theta_3,Theta_4,Theta_5,Theta_6,Theta_7,Theta_8,Inner Cost,Outer Cost,Gradient Cost
0,0,-8.244531757020413,-2.7257148886516207,-10.187880288861308,-2.816613097065657,-2.4636842049064174,-4.706310257301892,-5.260538073560688,-3.4302648930718296,-1.9282178633714506,2241.3585132985927,573929.6626788896,-0.571688304165591
0,1,-8.467040631504569,-2.5990252382517953,-10.270942342911374,-2.9476955636736464,-2.5073732385226335,-4.672698792279643,-5.161551494780322,-3.2981583033614545,-1.926004409278898,8065.973364226626,939335.5780001129,-0.9312696046358863
0,2,-8.30379385136621,-2.771720749475118,-10.145594140575076,-2.9367874928425013,-2.4650309468601126,-4.666930215694729,-5.439295809971086,-3.4095678643052554,-1.8188793505408607,1710.4721876743274,502917.7309266927,-0.5012072587390184
0,3,-8.398065006117196,-2.6602286573713774,-10.429430673963282,-2.8703508886107256,-2.4026197547467416,-4.722011965768325,-5.269703024883518,-3.349719455570488,-1.9358796259934974,3897.375566332984,700443.1686495616,-0.6965457930832286
0,4,-8.41824670328359,-2.5379774893232367,-10.299744337206842,-2.8421225976077444,-2.3663909958776586,-4.707560638962022,-5.303803813246607,-3.396770510035889,-2.030657399186058,2672.001016837236,635173.7003118282,-0.632501699294991
0,5,-8.390631658056172,-2.4830603650653655,-10.345508314027931,-2.894107180139978,-2.562169258330421,-4.683783734544294,-5.312803687298697,-3.477704792782795,-1.7188503525271082,1465.2087490274275,529481.9001724032,-0.5280166914233757
0,6,-8.351162119104375,-2.554102666620662,-10.115103443899448,-2.7574495703386517,-2.432376584089245,-4.67257672131895,-5.1523248953474,-3.403170989874894,-1.8307895288002694,3603.525548356123,505083.971575508,-0.5014804460271519
0,7,-8.266009209308466,-2.7968636636466813,-10.231319835896914,-3.1017520243837944,-2.5907028983776033,-4.76930440668991,-5.26265309472075,-3.511014679523948,-2.05992908373385,1569.846360661321,1187202.0481409773,-1.185632201780316
0,8,-8.27589398478479,-2.520387826238481,-10.249668542725813,-2.8082166028744715,-2.257978488570035,-4.581884675500406,-5.128413716298466,-3.3554004727841726,-1.978813748894773,5462.545417673648,645134.2197129576,-0.6396716742952839
0,9,-8.467146095021791,-2.6088893493983347,-10.282499637251352,-2.8793086929570775,-2.5027802205528813,-4.602107578972534,-5.387522964648282,-3.4724175747567867,-2.026608748457445,1344.2343148628267,668905.8616519185,-0.6675616273370556
0,10,-8.557684175880526,-2.50102992056238,-10.152148719247801,-3.015062360504172,-2.58232496005916,-4.698538134617774,-5.329560969288034,-3.5533870352086816,-1.7535804011959162,1166.4720714169655,608221.7443468274,-0.6070552722754105
0,11,-8.206833068976907,-2.614656214885479,-10.338189895534926,-2.988836585343986,-2.4666114135186814,-4.841599390141519,-5.276488423951708,-3.4472439780953303,-1.8839478429851773,1948.7427572529532,777552.8956875255,-0.7756041529302725
0,12,-8.41347964558795,-2.809113173361505,-10.183536268052658,-2.923603855991455,-2.3348101785609088,-4.641203969893511,-5.155012302300186,-3.4605761982327485,-2.020969997049419,2200.2436953099295,705351.2737733006,-0.7031510300779906
0,13,-8.276110481373435,-2.738841156248603,-10.261378452925113,-3.074612775779423,-2.3364375008043643,-4.833854035907175,-5.3730011858671345,-3.303456887564164,-1.8790887206097386,5542.445616149799,821921.7607839997,-0.8163793151678499
0,14,-8.18305251488047,-2.87485775026858,-10.389268269128296,-2.8262458174582803,-2.483984376006626,-4.763830381374546,-5.314259744284014,-3.3792889273550433,-1.7079082627232798,2812.770589502864,441972.5225721189,-0.43915975198261603
0,15,-8.297165880181517,-2.603877449907395,-10.137948325911477,-2.871614198133424,-2.3788071714924364,-5.060520706391695,-5.337290632792512,-3.421436598627504,-1.9611169492361715,2064.8981773809573,506611.772183825,-0.504546874006444
0,16,-8.50300995507724,-2.597115240436009,-10.141226145908318,-2.9545116667359466,-2.561527571350498,-4.549717351505745,-5.150608331999945,-3.489268598083784,-1.7790365654539508,1883.133267297499,668870.0658638171,-0.6669869325965196
