Iteration,Walker,Theta_0,Theta_1,Theta_2,Theta_3,Theta_4,Theta_5,Theta_6,Theta_7,Theta_8,Inner Cost,Outer Cost,Gradient Cost
0,0,-8.311263470958671,-2.6469744597389404,-10.20238350042289,-2.8919390181965547,-2.462902665159774,-4.484645118218046,-5.325346110810841,-3.649047336027163,-1.7882161121278684,137.45440878546964,135.09109670739656,0.23633120780730724
0,1,-8.416073349127759,-2.8496086072887024,-10.206526559206466,-2.931025482410584,-2.575055617890245,-4.630095275812206,-5.335735125695762,-3.389313336433183,-1.856397223351258,137.20855527823582,135.16459112413366,0.20439641541021697
0,2,-8.304821622589802,-2.709942187238175,-10.268132089845198,-2.8938461680617262,-2.4404632528412455,-4.755123412953628,-5.268577920707106,-3.583170023651647,-1.839589150349758,137.82497267364883,135.11373528591037,0.2711237387738452
0,3,-8.69818558785479,-2.5364887557252747,-10.195670599966626,-2.997533378447649,-2.52304967796428,-4.779815243488819,-5.289000157273916,-3.45174985558084,-1.877284994235695,137.59711234405637,135.1677229112761,0.24293894327802812
0,4,-8.31344117298571,-2.7009338928214586,-10.309804772062273,-2.8975222203949067,-2.437959575182482,-4.750136293060163,-5.301405253469615,-3.3641249370152604,-1.7182425430807995,136.9117098237491,135.06915080038797,0.18425590233611455
0,5,-8.393335862332354,-2.6941931965676122,-10.23597289345649,-2.900110789005432,-2.6094851474206733,-4.702258345527105,-5.197433523222125,-3.5327281747824557,-1.7863213381849954,136.56186503960538,135.06663813163934,0.14952269079660435
0,6,-8.349866199923584,-2.614071153607105,-10.40247640362732,-2.892852087919995,-2.6061152388147626,-4.7716786241997875,-5.307743615300583,-3.564738142233582,-1.9227359717011054,137.6890250530252,135.20545062166494,0.24835744313602615
0,7,-8.244569018796389,-2.967930006316937,-10.312135771820376,-2.8987454169406943,-2.4071658212168723,-4.848042707107305,-5.082713941273037,-3.5124733058641278,-1.7151407290693557,136.63563380650322,135.08204014263546,0.15535936638677506
0,8,-8.168287569871396,-2.736155738298381,-10.417855507292174,-2.9511871012746473,-2.392872790951946,-4.7711691269875285,-5.268996440940382,-3.4516168422920566,-1.896234279307473,138.64004582883487,135.16764668897227,0.3472399139862614
0,9,-8.322205590047723,-2.5830996253577383,-10.356121232414814,-2.8684620515531027,-2.368313093409495,-4.808622610809839,-5.138744642107622,-3.3309125849705974,-2.050599667364715,139.82707119821714,135.25375616666201,0.4573315031555132
0,10,-8.375027728177516,-2.6802388905812453,-10.44696528227391,-3.0866904556818597,-2.4885451355191317,-4.693225000756153,-5.36616196224156,-3.2885843357753775,-1.7571089830383164,137.19676452531496,135.11910221624586,0.2077662309069111
0,11,-8.187105978604697,-2.6197807896399166,-10.17272578637034,-2.971220448334297,-2.4922739215343803,-4.7740974976633215,-5.2702114273807155,-3.461236165388149,-1.801060676016513,137.14828464872522,135.1237499244737,0.20245347242515202
0,12,-8.271874668291703,-2.641420751494474,-10.225740222462074,-3.064941392133263,-2.416710662885356,-4.795912897580465,-5.135160752238576,-3.492977807514375,-1.626445048018697,136.4756870766102,134.9813474432722,0.14943396333380102
0,13,-8.466381536760043,-2.74149109951365,-10.203352706709182,-2.8372811488993195,-2.406204244364761,-4.8130263456707985,-5.356744521211069,-3.436402383485328,-1.8544779427745266,138.2925743348678,135.1750479875186,0.3117526347349178
0,14,-8.442889393578405,-2.69569770476865,-10.267888441819991,-2.8378808664341433,-2.428262400408681,-4.672071546896234,-5.330694286629036,-3.442103180919236,-1.827896843387473,137.72295470488152,135.11893228571103,0.26040224191704786
0,15,-8.451863593613993,-2.567624126727935,-10.15064413754808,-2.998458396674626,-2.2887896730129422,-4.702867296204176,-5.304392929104459,-3.56904319758808,-1.8858526229030765,139.94596826268003,135.1586235881537,0.47873446745263304
0,16,-8.363368766981994,-2.642379973152886,-10.25192279454084,-3.019061118439954,-2.400468544385155,-4.634759891464563,-5.33866213270154,-3.388408381237853,-1.8617398134998235,138.38060346733667,135.15057256292903,0.32300309044076336
0,17,-8.36922840030615,-2.6910581763482098,-10.169589438737155,-2.9549084203154456,-2.408312069256947,-4.762242653779667,-5.195063664214601,-3.4362656953242454,-1.8868747371657808,138.0465546732931,135.1436280523003,0.2902926620992773
0,18,-8.439055011614377,-2.7235903636408803,-10.467240137715336,-2.9147502957589584,-2.238556890475356,-4.638980527393912,-5.071298061834276,-3.413534490883399,-1.959621855813485,139.97897878279818,135.2069209616449,0.47720578211532916
0,19,-8.491937419602355,-2.6744269860188625,-10.428881216056823,-2.7757433100695756,-2.2379471286989445,-4.606625474677764,-5.3556922896467345,-3.527311079641592,-2.05908581584823,144.2067192200735,135.30682180474366,0.8899897415329829
0,20,-8.443124357495613,-2.8286932071513293,-10.306710440828907,-2.9993668700800766,-2.4699288923422107,-4.6213456054647475,-5.259600905214567,-3.514489010121259,-1.910914962196435,138.23566225529788,135.17928174371502,0.305638051158287
0,21,-8.417384937745748,-2.6361306875776864,-10.215042545314711,-2.92537056710017,-2.4032208145406067,-4.694596998184988,-5.298859647786261,-3.4218677670595192,-1.7055226702216622,137.08385264929225,135.0506960303546,0.20331566189376432
0,22,-8.495587072727785,-2.7782387909474466,-10.466389260699216,-2.8967764928959885,-2.5386443078115453,-4.691576096076238,-5.215893637326324,-3.4786974906487336,-1.9564722182768384,137.91797805389163,135.23215358585253,0.26858244680391097
