Iteration,Walker,Theta_0,Theta_1,Theta_2,Theta_3,Theta_4,Theta_5,Theta_6,Theta_7,Theta_8,Theta_9,Theta_10,Outer Cost
0,0,-8.220131247437372,-2.45918512633305,-10.23965767923471,-2.8395093575501984,-2.484309365437347,-4.75266024164843,-5.184894847111599,-3.471098959334542,-1.9291457590553627,-0.6992777509775748,-0.7773882897710073,831.3647512014415
0,1,-8.477598474700118,-2.4761889273784523,-10.461090533807072,-2.918160030871883,-2.431584985230727,-4.701551491707378,-5.232512772136501,-3.4731259808415604,-1.7463438507567235,-0.6385773278043485,-0.761729041948384,639.4938877275039
0,2,-8.491668394444428,-2.5921070752904702,-10.230156007657488,-2.862234842733683,-2.466193239658582,-4.712046616034843,-5.178768734178204,-3.4285264782634357,-1.8618046695207675,-0.7888448315311617,-0.5729903481784018,757.9082113852633
0,3,-8.403867556538867,-2.8351628082562286,-10.253626348297063,-3.0537468876633556,-2.4565747187098324,-4.661268576733683,-5.286889314450892,-3.475105867647399,-2.0457712346008785,-0.6307606123799147,-0.7488428363893032,434.49888752612725
0,4,-8.514085100860399,-2.5812424697047676,-10.250119606158089,-2.8735191664313042,-2.5701307235784485,-4.780507800205136,-5.111564485451525,-3.5680510370015046,-1.8340614385874394,-0.6403067006036561,-0.8675798085873482,1001.8768173169572
0,5,-8.458812123385332,-2.5536872815341973,-10.24044017812979,-2.8385032706212656,-2.3863308650162844,-4.676498179965776,-5.179586194707559,-3.4426539776426233,-1.5966587465225988,-0.651549288998899,-0.827097085942766,1121.5732784059946
0,6,-8.294890166026395,-2.639527471794076,-10.483329005506139,-2.919286523651121,-2.5539678582272227,-4.761411666338034,-5.312285086617459,-3.362339578340229,-1.8143368158536,-0.7182427688084699,-0.6594769940738932,573.9386190831965
0,7,-8.375003262281767,-2.5846354246995213,-10.271731283228016,-2.865868646949774,-2.2022916362667555,-4.692852190646777,-5.278021479365153,-3.4241664897107573,-1.9941642763221368,-0.6767680336203868,-0.9208143089269225,864.3874545654285
0,8,-8.292229005693372,-2.712732430885835,-10.244087640737481,-2.783599834247516,-2.244870432257497,-4.798782713452699,-5.2855949741055355,-3.520382421215766,-1.8601237343473527,-0.511673226791478,-0.7770591414602531,1184.1542479865066
0,9,-8.367447289169236,-2.7060110656280734,-10.21288932762433,-3.103786246039177,-2.4909757528450776,-4.504790468331121,-5.2397412185682954,-3.527870710420468,-1.857209636549121,-0.5651472131011043,-0.6944940684010655,941.0676147441213
0,10,-8.334988955183354,-2.4506792117148755,-10.148723125311509,-2.8151505083579025,-2.329120678396502,-4.7862145444124025,-5.014553439946608,-3.4699675432807897,-1.721663722210482,-0.7269117356550546,-0.8760806268003785,1199.4844108211857
0,11,-8.444799685862792,-2.539311227246335,-10.194049329665877,-2.8942382211099345,-2.2584632085350984,-4.658624597869149,-5.455685386728291,-3.459178744522634,-1.9160278321959316,-0.6845702953842954,-0.7051971605108179,868.6100318848644
0,12,-8.379929328732095,-2.6467818515527743,-10.243240624596872,-2.986289142012303,-2.6126091930745536,-4.761217633711005,-5.053275313121703,-3.320634667388181,-1.8868181488799054,-0.770097114963536,-0.6466822965919662,1089.2027379451072
0,13,-8.487737406513999,-2.793102400518607,-10.305021059231425,-2.7872732990767544,-2.45297801269902,-4.684639756988255,-5.260739225964351,-3.5160337284840897,-2.0281172504738376,-0.7093281073494543,-0.6427978895646694,1151.9246360093548
0,14,-8.490976655860132,-2.7577609524543987,-10.227286146577761,-2.8918977648761164,-2.4008577404611158,-4.787455855177145,-5.2697544571114925,-3.679613474354764,-1.8059323547367339,-0.745602958200746,-0.8683260907879665,856.1482427921667
0,15,-8.356082445929141,-2.7778055163246624,-10.400891180888523,-2.9418145406550735,-2.555736139718241,-4.848556969231594,-5.186091929538881,-3.5499797692541155,-1.8101307742759591,-0.7624505824814056,-0.7225786139937611,631.3613081382558
0,16,-8.433052433004628,-2.7811491851437338,-10.333267519738236,-2.91344181680141,-2.388282641435286,-4.730306725241571,-5.360381202152537,-3.5627723212329188,-1.8738996150450666,-0.6443494101347557,-0.7485983209468998,636.3343247674875
0,17,-8.414739092029022,-2.7589005086123897,-10.29147714482702,-2.9311297691260565,-2.4475108179753113,-4.48974372617847,-5.305378800202468,-3.3250799340508292,-1.9959824018652863,-0.5843933274532848,-0.6204818459968059,406.05793596070396
