Iteration,Walker,Theta_1,Theta_2,Theta_3,Theta_4,Theta_5,Theta_6,Theta_7,Theta_8,Theta_9,Inner Cost,Outer Cost,Gradient Cost
0,0,-6.23902490688735,-2.517706653005502,-10.370009312700617,-2.807697261442026,-0.9252409085825961,-3.651309929248555,-3.187386190173504,-3.753443550856975,-3.5087162361881403,491084.990959478,184399.62089122966,0.30668537006824836
0,1,-5.97586055758704,-2.610729185859984,-10.403616311048207,-2.8214456347423895,-0.7176661324662474,-3.7079092660171518,-2.962514401242435,-3.9301952135162947,-3.4508837188741097,762147.7401426977,278612.09000097297,0.4835356501417247
0,2,-6.123920234613137,-2.705389801288265,-10.500626667103038,-2.73659160765575,-1.0354593550680842,-3.7312127136315714,-3.279959976394442,-3.7184973288172087,-3.463259053015718,393411.97189749364,163590.5300540621,0.22982144184343153
0,3,-6.034913050352038,-2.511543351639382,-10.274153960191592,-2.628447009000168,-0.8171034945961599,-3.582612602081837,-2.960676165227827,-3.7900874154436415,-3.436840775395287,628401.5803954644,206005.26642909454,0.4223963139663699
0,4,-6.153485860253093,-2.604625363811568,-10.33686280202386,-2.8440152861698933,-1.0106209587179518,-3.6487439365928163,-3.037057833442962,-3.562940767473357,-3.3646886703387575,682740.6830934033,185224.59009409786,0.49751609299930544
0,5,-6.129408945480152,-2.556407194862897,-10.288328781108108,-2.8402911877201364,-0.9498540851482082,-3.649605694047264,-3.1901317658892245,-3.724038466041352,-3.3120741754078646,486414.2240025849,181655.42143869805,0.3047588025638869
0,6,-6.298789210279603,-2.484927091530293,-10.122852740295931,-2.7622008052696594,-0.9549729600693491,-3.5805473268005885,-3.1664862407529695,-3.8158415098424023,-3.4550669122401154,490684.03533613356,181112.7354914155,0.3095712998447181
0,7,-6.3691593993524,-2.525429957150322,-10.433673186388928,-2.672061045962094,-0.9370440591118082,-3.572294778162612,-3.0097250763080403,-3.5659610951971548,-3.4296694262078993,711020.5542870978,159958.99248370383,0.551061561803394
0,8,-6.010436757275886,-2.4829785649397165,-10.333074019371358,-2.84489953203241,-0.9217299355421813,-3.712081554371164,-3.2032889295023814,-3.75729833057785,-3.4874451696330513,514868.66099309444,219659.2687115511,0.29520939228154336
0,9,-6.1361485537240785,-2.7615497258307418,-10.175191819734978,-2.723109416766589,-0.9965058309961832,-3.644670667830197,-3.156886764458022,-3.78183926521216,-3.450816000484288,418170.12726065563,161098.97084935696,0.2570711564112987
