Iteration,Walker,Theta_1,Theta_2,Theta_3,Theta_4,Theta_5,Theta_6,Theta_7,Theta_8,Inner Cost,Outer Cost,Gradient Cost
0,0,-8.362429035597211,-2.707180466806187,-10.372697727253724,-3.0228837598392304,-2.5016184727828046,-4.675879363078309,-5.24447681572073,-3.458213154706288,19005.777556886944,13013.723152409468,0.5992054404477476
0,1,-8.312863118711766,-2.5731645021689777,-10.196051274406901,-2.8781575921249116,-2.3651476343231814,-4.691780772311245,-5.303847395223211,-3.315186284310878,21442.465543091817,15671.06325863216,0.5771402284459657
0,2,-8.450097820421586,-2.7745466355948407,-10.491267345699683,-2.7847311603441893,-2.365078682313225,-4.684237536298617,-5.292681027814359,-3.583409566848525,22322.029671628636,16387.496487062628,0.5934533184566008
0,3,-8.429920404736547,-2.686410824291207,-10.373050244405404,-2.931535332988425,-2.5103946613073362,-4.718483703342841,-5.171161480749835,-3.3774247772426156,18052.384482237274,12333.466673968005,0.5718917808269269
0,4,-8.262257814787105,-2.729381087552553,-10.375629321994893,-3.136714330042511,-2.474463761956506,-4.784841313518533,-5.348936312499269,-3.5325753107592286,20661.161917579644,14357.39699099763,0.6303764926582015
0,5,-8.324964701774508,-2.5741523746729955,-10.328205361631333,-3.0490052247155175,-2.5082559609920283,-4.692033808671171,-5.270084188647072,-3.586788960811751,19457.587108653384,13304.96868859209,0.6152618420061295
0,6,-8.256819770060254,-2.5265703878541816,-10.408983974766034,-2.7285112553047464,-2.3826284090846968,-4.639851510768534,-5.200030645179821,-3.483992004207665,20952.515865474026,15273.677927820278,0.5678837937653749
0,7,-8.385846714101104,-2.6818087744152086,-10.44678067997548,-2.9616782272640827,-2.4397156383498015,-4.655609049597986,-5.2033287546926354,-3.5048938952160613,19977.777489835058,14156.392195483311,0.5821385294351746
0,8,-8.523481077918069,-2.7360579228920447,-10.35329674590687,-2.8769560300502452,-2.4353320423702445,-4.681511909874408,-5.0064474458426345,-3.4643362492934062,18414.811671988988,13160.013212141346,0.5254798459847642
0,9,-8.414307602353235,-2.5466154699715307,-10.143210493784343,-2.911567963891684,-2.367328788894664,-4.681869209604847,-5.175967128465153,-3.510414934402254,21145.939188125525,15551.901531248077,0.5594037656877449
