Iteration,Walker,Theta_1,Theta_2,Theta_3,Theta_4,Inner Cost,Outer Cost,Gradient Cost
0,0,-5.288009061571622,-2.1325268033886613,-5.23755443371758,-3.4210036665331183,0.4178742136677026,0.028220925596805495,0.3896532880708971
0,1,-4.938841023413297,-6.659939330030057,-9.109111518619525,-3.823181552813904,0.03260076938804394,0.026158632622825445,0.006442136765218494
0,2,-2.9864111326141,-8.018574713805519,-1.8548226932407785,-2.638722194143944,1747.6769025112606,348.70663210298187,1398.9702704082788
0,3,-4.4809846651448995,-3.7961379220687133,-2.9067038089490986,-6.642568316591285,16.601171995605153,0.21067689374696488,16.39049510185819
0,4,-4.915727159397293,-4.978301222455291,-6.770510003751857,-5.280159572850931,0.032489570410426744,0.026132381930989917,0.006357188479436827
0,5,-3.8529130719796814,-6.409224009197036,-4.144531456092789,-3.7394502652454866,1.7448594357554437,0.06697569789205504,1.6778837378633886
0,6,-2.830353485453596,-6.994165988960633,-4.001918672326864,-3.563282285855943,1.9168959903321197,0.14659182354934963,1.7703041667827701
0,7,-11.137342554874596,-5.350598282657073,-3.5603178686408237,-7.189958023257953,4.682736014152887,0.040714359292937305,4.64202165485995
0,8,-6.0186383416143325,-5.080056943977442,-6.699032038101985,-4.836291868481855,0.035909770908019605,0.026125584856999937,0.009784186051019668
0,9,-4.321360047285115,-5.175365681847842,-5.78584540217039,-6.000443926100195,0.05742921271297491,0.026136307628612965,0.031292905084361944
0,10,-5.139047662479053,-3.9048387058893037,-4.47327228110818,-6.640295506480994,0.7293481657586278,0.027178868403080512,0.7021692973555473
0,11,-3.967788066527163,-5.265212643076689,-7.201936907163942,-5.549414518083751,0.03997650624859203,0.026241007684582478,0.013735498564009553
0,12,-4.5972434155294035,-4.683016263401511,-3.0748848096737724,-3.7161760211895447,17.33211341787831,1.1939580032524835,16.138155414625828
0,13,-2.8716797757822365,-5.5748668137649435,-3.33894929025777,-7.169171831727336,5.660035629656157,0.09165166945853313,5.568383960197624
0,14,-4.697197231385283,-3.719023243966336,-5.373037606559859,-5.21605441853483,0.12330533743625774,0.026220903650802242,0.0970844337854555
0,15,-2.0909958702409113,-5.188581716910587,-1.3026190226080225,-3.711428239784559,427.8537980489945,29.821264456266295,398.0325335927282
0,16,-4.214734464970945,-8.092933998281877,-4.472694288406593,-6.305126024148626,0.6329634653891536,0.02743811495353454,0.6055253504356191
1,0,-7.088457987176103,-3.4096242853883543,-5.820487051425463,-6.064379501537956,0.07803841801445874,0.026149839308720578,0.05188857870573816
1,1,-6.094945001889696,-5.844433580174423,-6.673060097239599,-8.42458781162753,0.03699130246714228,0.026126786249337813,0.010864516217804467
1,2,-8.11800275123792,-2.7057108009651256,-5.140411968695048,-2.3602991539241436,24.779765967194813,4.706070891823924,20.07369507537089
1,3,-2.8869359319627983,-2.120239567319847,-8.163937154084044,-6.482017689502387,6.237513444666256,0.9797827503821552,5.257730694284101
1,4,-4.176867264744786,-5.782754945191725,-5.261281723562348,-3.9159390911223433,0.14334453034659475,0.026643043207538443,0.11670148713905631
1,5,-2.958478876681402,-7.473210274875797,-5.502954736843695,-6.754748869845621,0.11801450874464628,0.0290170098457529,0.08899749889889338
1,6,-6.664270515490079,-4.015500237901426,-6.360581308134477,-6.971269122621486,0.045360588123007396,0.026127830679264673,0.019232757443742723
1,7,-1.2970684125426706,-4.895317462034112,-9.291002840244941,-5.879153232469083,2.8262915288732016,0.3916722351965056,2.434619293676696
1,8,-6.512731958378511,-5.370544315076122,-9.19627556796333,-7.76089825579721,0.030140905545882266,0.02613451029943653,0.004006395246445735
1,9,-5.365735001406649,-4.033389865776351,-6.952033162709075,-5.41434632816713,0.03217093322990266,0.02612766616992781,0.0060432670599748495
1,10,-4.617000824621386,-2.7502705049169087,-5.494740608295987,-8.640170682006094,0.09418261404755691,0.026179523515691642,0.06800309053186528
1,11,-3.3009980844553315,-6.029558586315429,-6.193923430925888,-3.301311239062227,0.028146426946990884,0.026150458522346827,0.0019959684246440568
1,12,-8.160896508679308,-4.0881139220906695,-4.210400845233713,-4.275124195304376,1.4351656678720395,0.03264323970270693,1.4025224281693325
1,13,-5.118527726398206,-10.77692029431846,-7.036417509976751,-5.416420358486096,0.03182059481960137,0.026137611178242016,0.00568298364135935
1,14,-4.178116501036218,-3.8958807599752125,-6.19067854977708,-5.828289703013234,0.03664798440985265,0.02612874311231896,0.010519241297533694
1,15,-5.307050186723548,-5.127120913958556,-7.51679135701301,-5.648020399274156,0.030581660649725527,0.02613644734341057,0.004445213306314956
1,16,-6.836187268232878,-4.7107696843510825,-9.527020893561161,-5.416460754278252,0.03007520423905144,0.026133381190230474,0.003941823048820965
1,17,-3.455929779391492,-4.9090247395171875,-6.487958693835034,-2.4034938180879784,1.2766859373152712,0.11836962169644309,1.158316315618828
2,0,-6.054736415864301,-8.58753876767115,-8.45180336249312,-3.7287727780729356,0.029934129814421003,0.026133046755557148,0.003801083058863855
2,1,-5.365533262395639,-4.650696771079703,-7.137408577755013,-7.606395214951027,0.031562024585804135,0.0261319073547694,0.005430117231034735
2,2,-9.299538993428458,-4.988421241277024,-8.934556530741066,-11.645502636504547,0.03014984340191935,0.026130937357640195,0.004018906044279156
2,3,-6.3140977638567035,-4.24843557582688,-9.371307803626333,-5.908182984476024,0.030069785669121486,0.026134264237929694,0.0039355214311917915
2,4,-4.019940270235335,-6.639960536873959,-10.84166036198135,-8.368194087703053,0.0518856083805767,0.026330703907119047,0.025554904473457655
